# tup inventory — 20260831T125822Z
# root: /mnt/lfs
# excluded (not examined): proc sys dev run tmp sources tup-build
# format: <sha256 | symlink target>  <mode> <size> <path relative to root>
#
-> usr/bin                                                    lnk        - /bin
ca5ceeded2b4bb875e14c7a577d4579a366adb1981d237f85bc4d62d99d61332 644  7993087 /boot/System.map-6.17.3
ab95d918dfd4df93047dc8b007b063219418300426ecfa3cc7cdd2441173d1b9 644   312620 /boot/config-6.17.3
73b8e7cc0cd661716e7475e4bcd4f0b5e1f83c1d9317f273c9b623039b3550a6 755   151552 /boot/efi/EFI/BOOT/BOOTAA64.EFI
6cfb065086c6c2709802f90719c576cfae27c516356bdc7aea7f38b3684e601a 644    11872 /boot/grub/arm64-efi/acpi.mod
767353d801176c708b295e5abe1dd039e532d7b1a326bdca9998a6f011126874 644     2056 /boot/grub/arm64-efi/adler32.mod
e02f6b72a8d6e5793ce76b86cb93fc39a8770404e1e7f9bd2d0c497cd1e6f5d7 644    10528 /boot/grub/arm64-efi/affs.mod
4a1eb9bc3273e123fa6a21cfdc28c1e3ef18db23319bc16575ee828c19e5082c 644     8880 /boot/grub/arm64-efi/afs.mod
d2d5de9eb8b029a309cc68b6e51183c901bbfa091096caffd5e4d15edcbf4c75 644     1952 /boot/grub/arm64-efi/afsplitter.mod
f673ca40ed3e76be5f3ef3ba108e4549e870dfabbb1b7972a691b21c7211601e 644      672 /boot/grub/arm64-efi/all_video.mod
18712f5936133ee3c7ba9f48063a1f4bf0100aa3295fbff41443b67af082f381 644     5400 /boot/grub/arm64-efi/archelp.mod
b6462b6ea63a5b37503083a7be3159ca4d54d606950a12212267b8f58296c6d8 644    10088 /boot/grub/arm64-efi/bfs.mod
ddb65aa51d5d2cbde847c1c53c1f4cb6415d5cefe77a5eafe97b9ef83a317fcc 644     4064 /boot/grub/arm64-efi/bitmap.mod
1f7c34d3720e3b2ea85901447286dd0fba5360d9d41cd51bff4f269483a31267 644     6112 /boot/grub/arm64-efi/bitmap_scale.mod
bc5f6134003c395a0d42cafff4b1166457b86551171cd7a7f75b151fdbbef4b3 644     4624 /boot/grub/arm64-efi/bli.mod
bc17dc7fa83bd3fbc42f04ac36f8a3c4a1d1801bf1e1710798386399a6d81bf6 644     4128 /boot/grub/arm64-efi/blocklist.mod
e781fe04406502abd9b706579821b7535e95fbc9543ae793fbc874d87ca4ee1e 644     4680 /boot/grub/arm64-efi/boot.mod
27ab54d5da5954e5bdeb741d9773f1161395c95f3a90215f1209e44f8ef28786 644     4304 /boot/grub/arm64-efi/bswap_test.mod
ab160d7170f13accd04d7b000cca4e681e9263e8ce4d01f684c8e8daab5896f7 644    32408 /boot/grub/arm64-efi/btrfs.mod
47ab55f6d14eb7653ec58618183dc6b83544fedf819767ec75d15d47cf5e574b 644     3048 /boot/grub/arm64-efi/bufio.mod
d98a50cdc546594257bdaa93d990764f3430287dfdf2a828e3f245dda0354af2 644     5376 /boot/grub/arm64-efi/cat.mod
74fc694e37772d7674b4289b197cf70661497485d01eaa71fe379b59e5c85d30 644     5440 /boot/grub/arm64-efi/cbfs.mod
fd2a1c75b4c75329c334092ae66e2192cbd375cb2b5eda01fe88941ce7888898 644     9936 /boot/grub/arm64-efi/chain.mod
05d4b4ef2e9726739e6b5838fe65a128f414c0c57bda274c969d1f95b4969017 644     5960 /boot/grub/arm64-efi/cmdline_cat_test.mod
e4cd71625465f3c6715dfa2c9503ef78a9bafd2ae4ffdabf45a301fb744aee58 644     4352 /boot/grub/arm64-efi/cmp.mod
15b10e6d1a504bb7a14e1470de587d3a8a2c1a2bc6df2c88824f856fa9a81d73 644     9152 /boot/grub/arm64-efi/cmp_test.mod
e0492f9137b019bd16c82f1e1d16a4373c644a278c2c73539732144625b17416 644     2604 /boot/grub/arm64-efi/command.lst
8ff2c6728e31ee0f81528610ab1e77fb06cd3314ed7c45d31f71cf2d3fb37ee8 644     4536 /boot/grub/arm64-efi/configfile.mod
73b8e7cc0cd661716e7475e4bcd4f0b5e1f83c1d9317f273c9b623039b3550a6 644   151552 /boot/grub/arm64-efi/core.efi
87d3834ba16c69ea0b8eb026483f75d5c57ddce17d1d023e2811bf5c0acef71a 644     5528 /boot/grub/arm64-efi/cpio.mod
5f3355e3984b6d4e073ed1b958a5e9ada03dee09823fd5ece99e294eacd50586 644     5544 /boot/grub/arm64-efi/cpio_be.mod
94fd5fd06d5723e52714f408090db730358a5b4ba90969b76e7cc0625350d987 644     2488 /boot/grub/arm64-efi/crc64.mod
1b766f38a94927fe9b7bc1e809f0363e778e14c601e800faea271a2e75d3fc43 644      936 /boot/grub/arm64-efi/crypto.lst
68b57da7a2b697d4c24c9a9fa69437f0e646bc9a5a3a770fb54917f511378986 644     8744 /boot/grub/arm64-efi/crypto.mod
fa4ab7e1d54d696615a7286b1b64be3f2edf994bf8b50054304d21f501564371 644    29792 /boot/grub/arm64-efi/cryptodisk.mod
0ef069589a1f124ce6ebf33c683408f142cbd36c5fb73471d1eef8186dc4675e 644     3656 /boot/grub/arm64-efi/ctz_test.mod
95dcfa643f9e29f5576693be448001c151212dc2405eff3b118a02df09b04060 644     4064 /boot/grub/arm64-efi/date.mod
d1dae5f5d6be2fb2f3fdea5afe9ddcf63fb2dd66d71484349bd77553f14f1198 644     3208 /boot/grub/arm64-efi/datehook.mod
6a1af05532d868200517346bc2a0ac7cf2d2f1e101f7cb4496ec7c73d29cf712 644     3672 /boot/grub/arm64-efi/datetime.mod
a953d1cd1a615e6c8220b97d9e270e46ccb4329630ac492c22792a323bbf8398 644     3784 /boot/grub/arm64-efi/disk.mod
98a9ac3736368eb6f8d35a5d04c51cba47fd7e95ddeee8e97af8eda1ab6c1521 644    17256 /boot/grub/arm64-efi/diskfilter.mod
d06099e1781f3844c844ec7556b25e311008f958fbe9974d35ae8e63062ee3b0 644     1288 /boot/grub/arm64-efi/div.mod
7a63e61405bb8fb121036fe4565f686dd1f505eaafddf24c8a17378098fcbb7b 644    11696 /boot/grub/arm64-efi/div_test.mod
65e148381940fbfa9e7e2da0eafba52cfa4fdf50c29fd4b44a73fdc3f8e08275 644     3240 /boot/grub/arm64-efi/dm_nv.mod
4c17b1e6473964cb09a5a05e5842c09d27d186c05acb05948b23fc405387cd28 644     3912 /boot/grub/arm64-efi/echo.mod
87f6de17c485bcf9888873f39805625c287b92c59da313ca03e0912f1314d0ae 644    14592 /boot/grub/arm64-efi/efi_gop.mod
ebfce91281c1b03df668099228955e5e08639aec6f65dbbbb4e5ea83f3e1cdc4 644     3552 /boot/grub/arm64-efi/efifwsetup.mod
887973ed74c03eb35b05c828f3203cb1a503691664f6173133ee6d86ba742a92 644     7888 /boot/grub/arm64-efi/efinet.mod
da449b46458621df016dcb3bf622de934807965699a69835696c329f3bc8b9ae 644     5600 /boot/grub/arm64-efi/efitextmode.mod
48954b4cedfe6980e65d8ae75947e83b4e588e02b618830cd455b1855d337b87 644    13952 /boot/grub/arm64-efi/elf.mod
6c854f55892e4d53abb572c2780c07f8d9ad49f4e9b04ba489ebfa2cf0b933fc 644     2760 /boot/grub/arm64-efi/eval.mod
cff9a7944e0ed9da41d15d67b3eaa0a3d81f666483758305ff291235dc582eb7 644    11200 /boot/grub/arm64-efi/exfat.mod
78fa393869aeddd2bb1f5d65aa768793f3aa1aa49581476d415525df511a46b0 644     3064 /boot/grub/arm64-efi/exfctest.mod
b2b7b96bf25a8bd6c3f766e7916e4f9f4cf47e5f54d6d52bbef642d2c3e8df77 644    11472 /boot/grub/arm64-efi/ext2.mod
d9c033cf904a3850d8fd9507601ba2ed3c0bbf43c975250db598a761bbe3bdf8 644    10320 /boot/grub/arm64-efi/extcmd.mod
08e95c30b1c7d6a609931fd6b5c587463a299f46db9d0992a7a925f0aa756d01 644    12176 /boot/grub/arm64-efi/f2fs.mod
a6147ef3dc119332f2d8b28eb5fedf06107359961b20b4dbd27e17992eb94c6d 644    10992 /boot/grub/arm64-efi/fat.mod
20f60db3ecc3186aa869da95518714d4bfb8efd99b822ad0287822294abbda44 644    10560 /boot/grub/arm64-efi/fdt.mod
268d149925b7be2688eb649ba4ed5f808df993e5b0d2ffc64fdc56031bea9e7b 644    32784 /boot/grub/arm64-efi/file.mod
f3373c637997b17a917da728ca7994f28205cadef687da229d68ac1a9c9c78b2 644    19408 /boot/grub/arm64-efi/font.mod
32fc7f5de8c0a5dc0b1e7eb609ca31a77eb3475539e1d97a4543dca1b9b26c57 644      219 /boot/grub/arm64-efi/fs.lst
5ab3bc7a2c835d332c9d6efe8f1b3a6448e5c505a4cf856699a8db17de6d3e56 644     5336 /boot/grub/arm64-efi/fshelp.mod
5877ef82e8ae5d835eed52cdd088054e896dcf6103a7f84e1b74230590004053 644    51880 /boot/grub/arm64-efi/functional_test.mod
47ed638eb83487af1a2dee8c8af1c4930acf19496e21dfbbf5dc74970c6130b0 644     2608 /boot/grub/arm64-efi/gcry_arcfour.mod
8441795309c5107265eff87d749b41ffd5ecba264b8c150b5d5ef5b40dde90e7 644     9200 /boot/grub/arm64-efi/gcry_blowfish.mod
c17136a5e5d2ab9d18a7ef4c9d22960a6125f0e27d890dec18b9d09dbcc3895b 644    26488 /boot/grub/arm64-efi/gcry_camellia.mod
5bad8da51889ffaff175384ef38b001c780ca8f424df0d27017dc2dc716178e8 644    15592 /boot/grub/arm64-efi/gcry_cast5.mod
6180477de48a11f14b73ef5d90032356b05ffc09a11ba64b0336f1bbd3cfc8a0 644    12320 /boot/grub/arm64-efi/gcry_crc.mod
c0e1e1f90d8807d9c3ecefcfcf28c3c906d547b08c55ccc61040ce91778c33d5 644    15584 /boot/grub/arm64-efi/gcry_des.mod
2c7ad2f697a3be391eff3aa367661efd27371cd8fd024accd7aea2f221f1b1ca 644     3720 /boot/grub/arm64-efi/gcry_dsa.mod
a982a30db6c0b6119aed4899bef2ee8235a0edcfaf215109aa3eafa5f4053501 644     4376 /boot/grub/arm64-efi/gcry_idea.mod
9fcdfa07e83a36dc975ae312be46a77aaf1838be3eda1d2a6acf1101dd377d52 644     4312 /boot/grub/arm64-efi/gcry_md4.mod
3ad1787253ab5e73f91445e60f38f397038be4bdf23736d74ebfb9617a06292e 644     5504 /boot/grub/arm64-efi/gcry_md5.mod
40b8f97c7a7681f76df3d6e95f803eff7f39c3fef001c31aff18ec60921d533d 644     3488 /boot/grub/arm64-efi/gcry_rfc2268.mod
750549fd681e49c2f6cd31144c31ecb9456bc7cb75259c9e7f36795a36f4b7be 644    20752 /boot/grub/arm64-efi/gcry_rijndael.mod
5bf305b6fbdff6860992a9c9b7996ea212c4c394da2e1c8500c23a5238357dda 644     8520 /boot/grub/arm64-efi/gcry_rmd160.mod
fbcd7b6614a99a7e12934df84ca78cd41bcdffbddc0874bac1bd4edf6a8e1a01 644     3416 /boot/grub/arm64-efi/gcry_rsa.mod
306660835f8c09f8a62ae026824259e2ae8a628262d87cb675e2f725602c4806 644    13088 /boot/grub/arm64-efi/gcry_seed.mod
61098f6e6cb8e6ac00eff4acb7f44d40c11a3bd3da35e2b0900d06fec5b0e0ff 644    15640 /boot/grub/arm64-efi/gcry_serpent.mod
69de2ecbdaa94caa31c386576955bd0bbf02da150d1eb405a43b60e1b098b3d8 644     7256 /boot/grub/arm64-efi/gcry_sha1.mod
1092ba30afeca3a881d3f48e780eb261759475e0ef1236afa5ea76b8c6cbbaf3 644     5064 /boot/grub/arm64-efi/gcry_sha256.mod
35eca019b66db33ca1eab9d9070da972a0be6623e32fff3b9b80bca5af782d42 644     5656 /boot/grub/arm64-efi/gcry_sha512.mod
21773ba2c05d9bd5866caa1bbb076fb04ec1f6d43a3e2fc4a3580a1960637348 644    13456 /boot/grub/arm64-efi/gcry_tiger.mod
68bbdb4585d3c3430fbc9adf29ff90792972929a8addbfe0c2bffa73b7fa2c1e 644    34808 /boot/grub/arm64-efi/gcry_twofish.mod
e5152c332b9d80b2bb1456581856f6a6b4516890bfc545656b343f9c6686312d 644    22392 /boot/grub/arm64-efi/gcry_whirlpool.mod
617a46ddd325f5fca18fbe6b499bad681b56e8aa12af2513e465acf66c906eae 644    11256 /boot/grub/arm64-efi/geli.mod
2b4a7c02fb8c124f9ec2496a24a1fbef96f54628d86b77e4abb18936c05bff9e 644    11848 /boot/grub/arm64-efi/gettext.mod
0a9147de649b189f96d6d7bfa741e5fc7bc39102283fe089c022d007c7d077d7 644    82632 /boot/grub/arm64-efi/gfxmenu.mod
